title,score
Les Évadés,9.2
Le Parrain,9.2
The Dark Knight : Le Chevalier noir,9
"Le Parrain, 2ᵉ partie",9
12 Hommes en colère,8.9
La liste de Schindler,8.9
Le Seigneur des anneaux : Le Retour du roi,8.9
Pulp Fiction,8.9
Le Seigneur des anneaux : La Communauté de l'anneau,8.8
"Le Bon, la brute, le truand",8.8
Forrest Gump,8.8
Fight Club,8.7
Inception,8.7
Le Seigneur des anneaux : Les Deux Tours,8.7
L'Empire contre-attaque,8.7
Matrix,8.7
Les affranchis,8.7
Vol au-dessus d'un nid de coucou,8.6
Seven,8.6
Les 7 Samouraïs,8.6
La vie est belle,8.6
Le Silence des agneaux,8.6
La cité de Dieu,8.6
Il faut sauver le soldat Ryan,8.6
La vie est belle,8.6
La ligne verte,8.6
Interstellar,8.6
La guerre des étoiles,8.6
Terminator 2 : Le jugement dernier,8.5
Retour vers le futur,8.5
Le voyage de Chihiro,8.5
Psychose,8.5
Le pianiste,8.5
Léon,8.5
Parasite,8.5
Le Roi Lion,8.5
Gladiator,8.5
American History X,8.5
Usual Suspects,8.5
Les infiltrés,8.5
Le Prestige,8.5
Casablanca,8.5
Whiplash,8.5
Intouchables,8.5
Top Gun: Maverick,8.5
Les temps modernes,8.5
Harakiri,8.4
Le tombeau des lucioles,8.4
Il était une fois dans l'Ouest,8.4
Fenêtre sur cour,8.4
Alien - Le 8ème passager,8.4
Les lumières de la ville,8.4
Cinéma Paradiso,8.4
Memento,8.4
Apocalypse Now,8.4
Les Aventuriers de l'arche perdue,8.4
Django Unchained,8.4
WALL·E,8.4
La vie des autres,8.4
Boulevard du Crépuscule,8.4
Les sentiers de la gloire,8.4
Shining,8.4
Le Dictateur,8.4
Témoin à charge,8.4
Avengers: Infinity War,8.4
Aliens : Le Retour,8.3
American Beauty,8.3
Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,8.3
Spider-Man: New Generation,8.3
The Dark Knight Rises,8.3
Old Boy,8.3
Joker,8.3
Amadeus,8.3
Braveheart,8.3
Toy Story,8.3
Coco,8.3
Le Bateau,8.3
Inglourious Basterds,8.3
Princesse Mononoké,8.3
Avengers: Endgame,8.3
Il était une fois en Amérique,8.3
Will Hunting,8.3
Toy Story 3,8.3
Requiem for a Dream,8.3
Your Name.,8.3
Chantons sous la pluie,8.3
3 Idiots,8.3
Le Retour du Jedi,8.3
2001 : L'Odyssée de l'espace,8.3
Eternal Sunshine of the Spotless Mind,8.3
Reservoir Dogs,8.3
Entre le ciel et l'enfer,8.3
Capharnaüm,8.3
Citizen Kane,8.3
Lawrence d'Arabie,8.3
La chasse,8.3
M le maudit,8.3
La mort aux trousses,8.3
Sueurs froides,8.2
Le fabuleux destin d'Amélie Poulain,8.2
Requiem pour un massacre - Va et regarde,8.2
Orange mécanique,8.2
Full Metal Jacket,8.2
Assurance sur la mort,8.2
La garçonnière,8.2
Scarface,8.2
Vivre,8.2
L'Arnaque,8.2
Du silence et des ombres...,8.2
Taxi Driver,8.2
Là-haut,8.2
L.A. Confidential,8.2
Heat,8.2
Metropolis,8.2
Une séparation,8.2
Piège de cristal,8.2
Snatch - Tu braques ou tu raques,8.2
Incendies,8.2
Hamilton,8.2
Indiana Jones et la dernière croisade,8.2
Voleur de bicyclette,8.2
1917,8.2
Taare Zameen Par,8.2
La chute,8.2
...et pour quelques dollars de plus,8.2
Batman Begins,8.2
Dangal,8.2
Le Kid,8.2
Spider-Man: No Way Home,8.2
Certains l'aiment chaud,8.2
Ève...,8.2
The Father,8.2
Green Book: Sur les routes du Sud,8.2
Le loup de Wall Street,8.2
Jugement à Nuremberg,8.2
Ran,8.2
Impitoyable,8.2
Casino,8.2
Le labyrinthe de Pan,8.2
There Will Be Blood,8.2
Sixième sens,8.2
Un homme d'exception,8.2
The Truman Show,8.2
Monty Python : Sacré Graal !,8.2
Le garde du corps,8.2
Le Trésor de la Sierra Madre,8.1
Shutter Island,8.1
Rashomon,8.1
Jurassic Park,8.1
La Grande Évasion,8.1
Kill Bill: Volume I,8.1
No Country for Old Men,8.1
Le Monde de Nemo,8.1
Elephant Man,8.1
Chinatown,8.1
Raging Bull,8.1
Everything Everywhere All at Once,8.1
Autant en emporte le vent,8.1
The Thing,8.1
V pour vendetta,8.1
Vice-versa,8.1
"Arnaques, crimes et botanique",8.1
Le crime était presque parfait,8.1
Dans ses yeux,8.1
Le château ambulant,8.1
Le pont de la rivière Kwaï,8.1
3 Billboards: Les panneaux de la vengeance,8.1
Trainspotting,8.1
Warrior,8.1
Gran Torino,8.1
Fargo,8.1
Prisoners,8.1
Mon voisin Totoro,8.1
Million Dollar Baby,8.1
La ruée vers l'or,8.1
Arrête-moi si tu peux,8.1
Blade Runner,8.1
Sur les quais...,8.1
Le troisième homme,8.1
Les enfants du ciel,8.1
Ben-Hur,8.1
12 Years a Slave,8.1
Le mécano de la Générale,8.1
Les fraises sauvages,8.1
Before Sunrise,8.1
Gone Girl,8.1
Harry Potter et les Reliques de la Mort : partie 2,8.1
Voyage au bout de l'enfer,8.1
Au nom du père,8.1
The Grand Budapest hotel,8.1
Mr. Smith au sénat,8.1
Le salaire de la peur,8.1
Barry Lyndon,8.1
Sherlock Junior,8.1
Memories of Murder,8.1
La légende de Klaus,8.1
Tu ne tueras point,8.1
Le septième sceau,8.1
Room,8.1
Les Nouveaux Sauvages,8.1
The Big Lebowski,8.1
Mad Max: Fury Road,8.1
Dragons,8.1
Mary et Max.,8.1
Monstres & Cie,8.1
Les Dents de la mer,8.1
La passion de Jeanne d'Arc,8.1
Voyage à Tokyo,8.1
Le Cercle des poètes disparus,8.1
Hôtel Rwanda,8.1
Rocky,8
Platoon,8
La complainte du sentier,8
Le Mans '66,8
Stand by Me : Compte sur moi,8
Terminator,8
Spotlight,8
Rush,8
Network - Main basse sur la TV,8
Into the Wild,8
Logan,8
Le magicien d'Oz,8
Ratatouille,8
Un jour sans fin,8
Before Sunset,8
L'Exorciste,8
Les Plus Belles Années de notre vie,8
Les Indestructibles,8
Jeux dangereux,8
Rebecca,8
Les raisins de la colère,8
La bataille d'Alger,8
Hatchi,8
Luke la main froide,8
Amours chiennes,8
Pirates des Caraïbes : La malédiction du Black Pearl,8
La Haine,8
Les Quatre Cents Coups,8
Persona,8
Mon père et mon fils,8
New York - Miami,8
Monty Python : La Vie de Brian,8
La mélodie du bonheur,8
Dersou Ouzala,8
Mademoiselle,8
Gandhi,8
Aladdin,8
La couleur des sentiments,8
Jai Bhim,8
La Belle et la Bête,8